"Skill_id","Level_id","Question_number","Question","Option_A","Option_B","Option_C","Option_D","Correct_answer","QuestionID"
"sk02","l2","40","कपड़े या शरीर को साफ करने के लिए compressed air क्यों न इस्तेमाल करें?","यह तेज़ है","यह गंभीर चोट या कणों को त्वचा में घुसा सकता है","यह पानी बचाता है","यह कुछ क्षेत्रों में अनुमति है","B","sk02_l2_40"
"sk02","l2","41","टूटा या असुरक्षित टूल क्यों न इस्तेमाल करें?","यह तेज़ है","यह चोट या नुकसान कर सकता है","यह हल्का है","यह इस्तेमाल में आसान है","D","sk02_l2_41"
"sk02","l2","42","भारी वस्तुएँ कहाँ स्टोर करनी चाहिए?","ऊपर की शेल्फ पर","टेबल के किनारे","नीचे या ज़मीन के पास","जहाँ जगह मिले","C","sk02_l2_42"
"sk02","l2","43","अगर कोई चेतावनी संकेत गायब दिखे तो क्या करें?","अनदेखा करें और काम जारी रखें","रिपोर्ट करें और ठीक होने तक क्षेत्र से बचें","अपना खुद का संकेत बनाएं","सहकर्मी से ठीक करवाएँ","B","sk02_l2_43"
"sk02","l2","44","फायर एक्सटिंग्विशर तक पहुंच क्यों न रोकें?","वे शायद ही कभी इस्तेमाल होते हैं","आपात स्थिति में तुरंत ज़रूरत पड़ सकती है","वे महंगे हैं","वे भारी हैं","B","sk02_l2_44"
"sk02","l2","45","गीले फर्श पर फिसलने से कैसे बचें?","तेज़ चलें","अनदेखा करें","चेतावनी संकेत लगाएँ और तुरंत साफ करें","खुली चप्पल पहनें","C","sk02_l2_45"
"sk02","l2","46","मटेरियल बिन्स को कैसे न मिलाएँ?","लेबल और कलर कोड का उपयोग करें","सभी बिन्स को एक साथ रखें","कोई भी बिन चुन सकता है","सिर्फ़ सुपरवाइज़र संभाले","A","sk02_l2_46"
"sk02","l2","47","फर्श पर गीला स्थान दिखे तो क्या करें?","तेज़ चलें","अनदेखा करें","सावधानी से चलें या क्षेत्र से बचें","साइन हटा दें","C","sk02_l2_47"
"sk02","l2","48","सीढ़ी का उपयोग करने से पहले सबसे पहले क्या देखें?","क्या वह पर्याप्त ऊँची है","क्या वह स्थिर और बिना नुकसान के है","क्या वह नई है","क्या वह रंगी हुई है","B","sk02_l2_48"
"sk02","l2","49","भारी वस्तु को उठाने का सबसे सुरक्षित तरीका क्या है?","पीठ झुकाकर जल्दी उठाएँ","घुटने मोड़कर और पीठ सीधी रखकर उठाएँ","वस्तु को अपनी ओर खींचें","किसी और से उठवाएँ","B","sk02_l2_49"
"sk02","l2","50","रसायन को शॉप फ्लोर पर कैसे ले जाएँ?","खुले कंटेनर में ले जाएँ","लेबल लगे कंटेनर में SOP के अनुसार","कोई भी ले जाए","बड़े, बिना लेबल वाले बिन में","B","sk02_l2_50"
"sk02","l2","51","फायर एक्सटिंग्विशर का नियमित निरीक्षण क्यों ज़रूरी है?","उन्हें चमकदार रखने के लिए","सुनिश्चित करने के लिए कि वे आपातकाल में कार्यशील हैं","क्षेत्र को व्यवस्थित दिखाने के लिए","रंग कोड के लिए","B","sk02_l2_51"
"sk02","l2","52","वर्कशॉप में आँखों की चोट से बचने का सबसे अच्छा तरीका क्या है?","सेफ्टी गॉगल्स या फेस शील्ड पहनें","तेज़ी से काम करें","मशीन से दूर देखें","सिर्फ़ धूप का चश्मा पहनें","A","sk02_l2_52"
"sk02","l2","53","टूटा कांच या तेज़ कचरे को कैसे संभालें?","सामान्य कचरे में डालें","कागज़ में लपेटकर निर्धारित कंटेनर में डालें","फर्श पर छोड़ दें","सहकर्मी से उठवाएँ","B","sk02_l2_53"
"sk02","l2","54","Safety Data Sheet (SDS) का उद्देश्य क्या है?","केमिकल की कीमत बताना","सुरक्षित हैंडलिंग और इमरजेंसी उपायों की जानकारी देना","सप्लायर की सूची देना","रंग बताना","B","sk02_l2_54"
"sk02","l2","55","अगर आप किसी घटना के करीब से बच गए (near-miss), तो क्या करें?","सिर्फ़ चोट लगने पर रिपोर्ट करें","सिर्फ़ उपकरण के नुकसान पर रिपोर्ट करें","हमेशा रिपोर्ट करें, चाहे चोट न लगी हो","शिफ्ट के अंत में रिपोर्ट करें","C","sk02_l2_55"
"sk02","l2","56","वर्कशॉप में आँखों की चोट से बचने का सबसे अच्छा तरीका क्या है?","सेफ्टी गॉगल्स या फेस शील्ड पहनें","तेज़ी से काम करें","मशीन से दूर देखें","सिर्फ़ धूप का चश्मा पहनें","A","sk02_l2_56"
"sk02","l2","57","स्टोरेज एरिया में बिन्स को ज़्यादा ऊपर क्यों न रखें?","अच्छा दिखता है","अस्थिरता और दुर्घटना का कारण बन सकता है","जगह बचती है","साफ-सफाई में मदद मिलती है","B","sk02_l2_57"
"sk02","l2","58","अगर आपको कोई सुरक्षा निर्देश समझ न आए तो क्या करना चाहिए?","अनदेखा करें और काम जारी रखें","अपने सुपरवाइज़र या सुरक्षा अधिकारी से स्पष्टीकरण माँगें","अनुमान लगाएँ","किसी सहकर्मी के समझाने का इंतजार करें","D","sk02_l2_58"
"sk02","l2","59","भारी वस्तुएँ कहाँ स्टोर करनी चाहिए?","ऊपर की शेल्फ पर","टेबल के किनारे","नीचे या ज़मीन के पास","जहाँ जगह मिले","C","sk02_l2_59"
"sk02","l2","60","टूटा या असुरक्षित टूल क्यों हटाना ज़रूरी है?","क्षेत्र को साफ रखने के लिए","उपयोग से बचने और दुर्घटना रोकने के लिए","स्टोरेज बचाने के लिए","ऑडिट में दिखाने के लिए","B","sk02_l2_60"
"sk02","l2","61","दोहराए जाने वाले कार्य से होने वाली चोटों से कैसे बचा जा सकता है?","नियमित ब्रेक लें और सही मुद्रा रखें","बहुत तेज़ काम करें","असुविधा को अनदेखा करें","सिर्फ़ एक हाथ का उपयोग करें","A","sk02_l2_61"
"sk02","l2","62","टूटी एक्सटेंशन कॉर्ड का उपयोग क्यों नहीं करना चाहिए?","वे सस्ती होती हैं","वे पुरानी दिखती हैं","वे बिजली का झटका या आग लगा सकती हैं","वे बहुत छोटी होती हैं","C","sk02_l2_62"
"sk02","l2","63","आपातकालीन निकास हमेशा साफ क्यों रखें?","साफ करने में आसानी के लिए","आपात स्थिति में जल्दी निकासी के लिए","अतिरिक्त सामग्री रखने के लिए","शोर कम करने के लिए","D","sk02_l2_63"
"sk02","l2","64","अगर कोई उपकरण टूटा या असुरक्षित है तो क्या करना चाहिए?","उसे वैसे ही इस्तेमाल करें","रिपोर्ट करें और तुरंत सेवा से हटा दें","किसी और के लिए छोड़ दें","साफ करके वापस रखें","B","sk02_l2_64"
"sk02","l2","65","संकीर्ण स्थान में प्रवेश करने से पहले क्या करना चाहिए?","सही वेंटिलेशन और परमिट सुनिश्चित करें","पानी की बोतल रखें","PPE हटा दें","अकेले काम करें","A","sk02_l2_65"
"sk02","l2","66","मटेरियल बिन्स को कैसे न मिलाएँ?","लेबल और कलर कोड का उपयोग करें","सभी बिन्स को एक साथ रखें","कोई भी बिन चुन सकता है","सिर्फ़ सुपरवाइज़र संभाले","A","sk02_l2_66"
"sk02","l2","67","इलेक्ट्रिकल फायर पर कौन सा फायर एक्सटिंग्विशर इस्तेमाल करें?","पानी वाला","फोम वाला","CO2 या ड्राय पाउडर वाला","कोई भी","C","sk02_l2_67"
"sk02","l2","68","अगर आपातकालीन निकास अवरुद्ध हो तो क्या करें?","रुकावट हटाएँ या तुरंत रिपोर्ट करें","अन्य निकास उपलब्ध हैं, अनदेखा करें","केवल आपातकाल में उपयोग करें","किसी और के हटाने का इंतजार करें","A","sk02_l2_68"
"sk02","l2","69","पीठ की चोट से बचने का सबसे अच्छा तरीका क्या है?","पीठ सीधी रखें और घुटने मोड़ें","झटके से उठाएँ","एक साथ कई वस्तुएँ उठाएँ","किसी और से उठवाएँ","A","sk02_l2_69"
"sk02","l2","70","कौन सा संकेत इलेक्ट्रिकल खतरे का है?","साफ और सूखी केबल्स","मैट से ढकी केबल्स","फटे तार या खुले कंडक्टर","साफ-सुथरी केबल्स","B","sk02_l2_70"
"sk02","l2","71","अगर किसी मशीन से जलने की तेज़ गंध आए तो क्या करें?","नज़रअंदाज़ करें और काम पूरा करें","मशीन पर तुरंत पानी डालें","मशीन को रोकें और सुपरवाइज़र को बताएं","खिड़कियाँ खोलें और काम जारी रखें","C","sk02_l2_71"
"sk02","l2","72","पीठ की चोट से बचने का सबसे अच्छा तरीका क्या है?","पीठ सीधी रखें और घुटने मोड़ें","झटके से उठाएँ","एक साथ कई वस्तुएँ उठाएँ","किसी और से उठवाएँ","A","sk02_l2_72"
"sk02","l2","73","टूटी एक्सटेंशन कॉर्ड का उपयोग क्यों नहीं करना चाहिए?","वे सस्ती होती हैं","वे पुरानी दिखती हैं","वे बिजली का झटका या आग लगा सकती हैं","वे बहुत छोटी होती हैं","C","sk02_l2_73"
"sk02","l2","74","PPE को अच्छी स्थिति में क्यों रखना ज़रूरी है?","पैसे बचाने के लिए","सही सुरक्षा के लिए","प्रोफेशनल दिखने के लिए","दिखावे के लिए","B","sk02_l2_74"
"sk02","l2","75","मशीन गार्ड्स को कभी न हटाएँ, क्यों?","वे मशीन को गंदा दिखाते हैं","काम धीमा करते हैं","वे उपयोगकर्ता को चलते हिस्सों से बचाते हैं","उन्हें बदलना कठिन है","C","sk02_l2_75"
"sk02","l2","76","अगर मशीन का सेफ्टी गार्ड टूटा है तो सबसे पहले क्या करें?","काम जारी रखें","रिपोर्ट करें और मशीन का उपयोग बंद करें","गार्ड पूरी तरह हटा दें","जल्दी काम खत्म करें","B","sk02_l2_76"
"sk02","l2","77","इलेक्ट्रिकल पैनल का रास्ता कभी न रोकें, क्यों?","यह शायद ही कभी इस्तेमाल होता है","आपातकालीन शटडाउन के लिए तुरंत उपलब्ध होना चाहिए","यह स्टोरेज के लिए है","सिर्फ़ इलेक्ट्रिशियन के लिए है","B","sk02_l2_77"
"sk02","l2","78","तेज़ कचरे (जैसे टूटा कांच) को कैसे संभालें?","सामान्य कचरे में डालें","कागज़ में लपेटकर निर्धारित कंटेनर में डालें","फर्श पर छोड़ दें","सहकर्मी से उठवाएँ","D","sk02_l2_78"
"sk02","l2","79","अनलेबल्ड बिन्स में सामग्री क्यों न रखें?","समय बचता है","यह भ्रम और सही हैंडलिंग से बचाता है","बेहतर दिखता है","ऑडिट में मदद करता है","B","sk02_l2_79"
"sk02","l2","80","अगर ""Wet Floor"" का साइन दिखे तो क्या करें?","तेज़ चलें","साइन को अनदेखा करें","सावधानी से चलें या क्षेत्र से बचें","साइन हटा दें","C","sk02_l2_80"
"sk02","l2","81","अगर वॉकवे में स्पिल दिखे तो क्या करें?","उसके चारों ओर चलें और अनदेखा करें","खुद साफ करें या तुरंत रिपोर्ट करें","साफ-सफाई स्टाफ का इंतजार करें","केवल दूसरों को चेतावनी दें","B","sk02_l2_81"
"sk02","l2","82","अगर कोई उपकरण गलत स्थान पर मिले तो क्या करें?","उसे वैसे ही छोड़ दें","रिपोर्ट करें और उसे सही स्थान पर रखें","अनदेखा करें","किसी और से हटवाएँ","D","sk02_l2_82"
"sk02","l2","83","भारी वस्तु को कैसे सुरक्षित रूप से ले जाएँ?","फर्श पर घसीटें","अकेले उठाएँ","ट्रॉली का उपयोग करें या मदद लें","पैर से धकेलें","C","sk02_l2_83"
"sk02","l2","84","उपकरणों को चिन्हित स्थानों पर रखना क्यों ज़रूरी है?","क्षेत्र को साफ-सुथरा दिखाने के लिए","उपकरण आसानी से ढूंढने और वापस रखने के लिए","मेहमानों को प्रभावित करने के लिए","कागज़ी काम कम करने के लिए","D","sk02_l2_84"
"sk02","l2","85","स्टोरेज बिन्स को स्पष्ट रूप से लेबल क्यों करें?","सजावट के लिए","भ्रम और गलत हैंडलिंग से बचने के लिए","मेहमानों को प्रभावित करने के लिए","कागज़ी काम कम करने के लिए","B","sk02_l2_85"
"sk02","l2","86","हीट एक्सहॉशन का कौन सा संकेत है?","कांपना","बहुत पसीना आना और कमजोरी","फोकस बढ़ना","ठंडी त्वचा","B","sk02_l2_86"
"sk02","l2","87","अगर मशीन से धुआं निकलता दिखे तो क्या करें?","पानी डालें","मशीन बंद करें और सुपरवाइज़र को बताएं","खिड़की खोलें और काम करें","अनदेखा करें","B","sk02_l2_87"
"sk02","l2","88","अगर उपकरण गलत स्थान पर मिले तो क्या करें?","उसे वैसे ही छोड़ दें","रिपोर्ट करें और उसे सही स्थान पर रखें","अनदेखा करें","किसी और से हटवाएँ","D","sk02_l2_88"
"sk02","l2","89","अगर केमिकल के पास काम करते हुए चक्कर आए तो क्या करें?","अनदेखा करें और काम जारी रखें","ताज़ी हवा में जाएँ और सुपरवाइज़र को बताएं","पानी पिएँ और काम जारी रखें","शिफ्ट खत्म होने का इंतजार करें","B","sk02_l2_89"
"sk02","l2","90","मशीन गार्ड्स को कभी न हटाएँ, क्यों?","वे मशीन को गंदा दिखाते हैं","काम धीमा करते हैं","वे उपयोगकर्ता को चलते हिस्सों से बचाते हैं","उन्हें बदलना कठिन है","C","sk02_l2_90"
"sk02","l2","91","सभी चोटें, चाहे छोटी हों, रिपोर्ट क्यों करें?","छुट्टी के लिए","सही इलाज और भविष्य में रोकथाम के लिए","कागज़ी काम कम करने के लिए","बॉस को प्रभावित करने के लिए","B","sk02_l2_91"
"sk02","l2","92","शॉप फ्लोर पर रंग कोडेड बिन्स का उद्देश्य क्या है?","सजावट","विभिन्न प्रकार की सामग्री को अलग और संगठित रखना","जगह बचाना","साफ-सफाई तेज़ करना","D","sk02_l2_92"
"sk02","l2","93","केमिकल का पहली बार उपयोग करने से पहले क्या करें?","सूंघ कर देखें","Safety Data Sheet (SDS) पढ़ें","सहकर्मी से पूछें","बिना देखे इस्तेमाल करें","B","sk02_l2_93"
"sk02","l2","94","सामग्री को सीधे फर्श पर क्यों न रखें?","समय बचता है","यह गंदगी और नुकसान से बचाता है","सॉर्टिंग आसान होती है","प्रकाश बढ़ता है","B","sk02_l2_94"
"sk02","l2","95","लंबी वस्तु को दोनों हाथों से उठाना क्यों ज़रूरी है?","पेशेवर दिखने के लिए","संतुलन बनाए रखने और दूसरों को चोट से बचाने के लिए","शक्ति दिखाने के लिए","जल्दी काम खत्म करने के लिए","D","sk02_l2_95"
"sk02","l2","96","अगर कोई सहकर्मी बिना ट्रेनिंग के मशीन चला रहा है तो क्या करें?","सीखने के लिए उसके साथ शामिल हो जाएँ","असुरक्षित व्यवहार की रिपोर्ट करें","अगर वह आत्मविश्वासी है तो अनदेखा करें","उससे सिखाएँ कहें","B","sk02_l2_96"
"sk02","l2","97","मूविंग मशीन के पास ढीले कपड़े क्यों न पहनें?","यह आरामदायक है","यह फँस सकता है और चोट का कारण बन सकता है","यह प्रोफेशनल नहीं लगता","यह आपको धीमा करता है","B","sk02_l2_97"
"sk02","l2","98","अगर कोई सहकर्मी PPE नहीं पहन रहा है तो क्या करें?","अनदेखा करें","उसे PPE पहनने की याद दिलाएँ","तुरंत रिपोर्ट करें","अपना PPE हटा दें","D","sk02_l2_98"
"sk02","l2","99","पीठ की चोट से बचने का सबसे अच्छा तरीका क्या है?","पीठ सीधी रखें और घुटने मोड़ें","झटके से उठाएँ","एक साथ कई वस्तुएँ उठाएँ","किसी और से उठवाएँ","A","sk02_l2_99"
"sk02","l2","100","टूटा या असुरक्षित टूल क्यों न इस्तेमाल करें?","यह तेज़ है","यह चोट या नुकसान कर सकता है","यह हल्का है","यह इस्तेमाल में आसान है","B","sk02_l2_100"
